company_name,ceo_name,ceo_linkedin_url,cfo_name,cfo_linkedin_url,director_general_name,director_general_linkedin_url,job_source_url,search_keyword
GARANTI BANK,Christine Haas,,Morgan Gasior,https://www.linkedin.com/in/morgan-gasior-024868a,Mehmet S.,https://www.linkedin.com/in/mehmet-s-031451a6,https://www.ejobs.ro/locuri-de-munca/call-center-officer-perioada-determinata/1959366,call center
NETWORK CONTACTS.RO,Ryan Roslansky,,"Aron Susman, CPA",,Ryan Roslansky,,https://www.ejobs.ro/locuri-de-munca/consultant-vanzari-call-center-telefonie-mobila/1954709,call center
RON CREDIT IFN S.A.,Vlad Micu,,"Ron Wall, MBA",,Bogdan Cristocea,https://www.linkedin.com/in/bogdan-cristocea-0897838,https://www.ejobs.ro/locuri-de-munca/ofiter-call-center-suport-clienti/1955998,call center
BCR Asigurări de Viață,Gheorghe Constantin,https://www.linkedin.com/in/gheorghe-constantin-07009a12a,Stefan Stavrositu,https://www.linkedin.com/in/stefan-stavrositu-85a4335,Raluca Bica,,https://www.ejobs.ro/locuri-de-munca/consultant-call-center/1956074,call center
SALONPRO,Alan Choi,https://www.linkedin.com/in/alan-choi-05862822,Sonia Mariana Wisner Domé,,Kevin Ong,https://www.linkedin.com/in/kevin-ong-52843157,https://www.ejobs.ro/locuri-de-munca/consultant-vanzari-call-center-sales-support-clienti-bb/1954243,call center
AMICredit,Diego Pesciatini,https://www.linkedin.com/in/diego-pesciatini-09a36086,Lavanya M,https://www.linkedin.com/in/lavanya-m-c,Madalina Anghel,https://www.linkedin.com/in/madalina-anghel-aa264279,https://www.ejobs.ro/locuri-de-munca/consultant-credite-call-center/1953900,call center
Prohuman,Joyce Museteka,https://www.linkedin.com/in/joyce-museteka-887127395,Nichole Albertsmeier,https://www.linkedin.com/in/nicholealbertsmeier,Csongor Juhász,https://www.linkedin.com/in/csongor-juhász-56869517,https://www.ejobs.ro/locuri-de-munca/call-center-with-advanced-english-june-class/1956741,call center
Optima Solutions Services S.A.,CEO & Founder en Optima Solutions,,Zach Henson,,Roger DePew,https://www.linkedin.com/in/roger-depew-58284864,https://www.ejobs.ro/locuri-de-munca/agent-call-center-reprezentant-vanzari/1956981,call center
PRIMO FINANCE FINTECH S.R.L.,Tom Jasper,https://www.linkedin.com/in/tom-jasper-82b6b99,Jennifer Turnage,,Marco Sawires,https://www.linkedin.com/in/marco-sawires-a00a73222,https://www.ejobs.ro/locuri-de-munca/agent-vanzari-callcenter-bucuresti/1960372,call center
DZR FREE ZONE COMPETITION SRL,N A,,Sonia Mariana Wisner Domé,,Nazare Cristian,https://www.linkedin.com/in/nazare-cristian-584a8bb3,https://www.ejobs.ro/locuri-de-munca/agent-vanzari-call-center-prezenta-fizica/1959885,call center
HORNBACH,Thierry Cordonier,https://www.linkedin.com/in/thierry-cordonier-257915124,Mihaela Chelu,https://www.linkedin.com/in/mihaela-chelu-38949414a,Thierry Cordonier,https://www.linkedin.com/in/thierry-cordonier-257915124,https://www.bestjobs.eu/loc-de-munca/agent-servicii-client-call-center-16,call center
Credit Online IFN S.A.,RALUCA STEFANIA ANDREICA,https://www.linkedin.com/in/raluca-stefania-andreica-19965624,Alina Iftimi,https://www.linkedin.com/in/alina-iftimi-4172b2130,Laurentiu Ionut Stan,https://www.linkedin.com/in/laurentiu-ionut-stan-b98b461,https://www.bestjobs.eu/loc-de-munca/agent-call-center-full-time-11,call center
CERTSIGN S.A.,Marek Krajčov,,Ryan Dowling,https://www.linkedin.com/in/ryan-dowling-3073863,Emilian Dragan,https://www.linkedin.com/in/emilian-dragan-9736501bb,https://www.bestjobs.eu/loc-de-munca/reprezentant-relatii-clienti-call-center-34,call center
TELEPERFORMANCE ROMANIA,Andreea Axenie,https://www.linkedin.com/in/andreea-axenie-1b45b04,Oana Coman,https://www.linkedin.com/in/oana-coman-ab851642,Laurent Dolivet,https://www.linkedin.com/in/laurent-dolivet-b807a6a9,https://www.bestjobs.eu/loc-de-munca/customer-support-german-bucharest-7,call center
TELUS Digital,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,"Gopi Chande, FCPA, FCA",https://www.linkedin.com/in/gopi-chande-fcpa-0a4b2632,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,https://www.bestjobs.eu/loc-de-munca/customer-support-representative-with-portuguese-1,call center
TELUS Digital,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,"Gopi Chande, FCPA, FCA",https://www.linkedin.com/in/gopi-chande-fcpa-0a4b2632,Tobias Dengel,https://www.linkedin.com/in/tobiasdengel,https://www.bestjobs.eu/loc-de-munca/customer-support-representative-with-german-32,call center
RSC Servicii Suport,Michelle Stux,https://www.linkedin.com/in/michelle-stux-2a660414,Emilian Dascalescu,https://www.linkedin.com/in/emilian-dascalescu-b88b4b172,John Tinsley,,https://www.bestjobs.eu/loc-de-munca/service-center-representative-with-italian-16,call center
MOOD MEDIA ROMANIA SRL,Catalin Chifan,https://www.linkedin.com/in/catalin-chifan-60598b5,Emilian Dascalescu,https://www.linkedin.com/in/emilian-dascalescu-b88b4b172,Ioana Comsa,https://www.linkedin.com/in/ioana-comsa,https://www.bestjobs.eu/loc-de-munca/client-support-representative-with-french-16,call center
Cegedim Service Center,,,Taras Zhilinskiy,,Anthony Cercleux,https://www.linkedin.com/in/anthonycercleux,https://www.bestjobs.eu/loc-de-munca/teleconseiller-service-assurance-34,call center
Michelin Romania S.A.,Irina Nacov,https://www.linkedin.com/in/irina-nacov-b584b264,Irina Nacov,https://www.linkedin.com/in/irina-nacov-b584b264,Irina Nacov,https://www.linkedin.com/in/irina-nacov-b584b264,https://www.bestjobs.eu/loc-de-munca/customer-service-advisor-with-hungarian-2,call center
DELCASE SRL,Bill Cotton,,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Adrian Valentin Boboc,https://www.linkedin.com/in/boboc-adrian-valentin,https://www.ejobs.ro/locuri-de-munca/operator-cnc-experienta-ani/1960462,operator introducere date
DELCASE SRL,Bill Cotton,,Sonia Mariana Wisner Domé,https://www.linkedin.com/in/soniawisnerdome,Adrian Valentin Boboc,https://www.linkedin.com/in/boboc-adrian-valentin,https://www.ejobs.ro/locuri-de-munca/operator-cnc-experienta-ani/1960459,operator introducere date
VISIO CONSTRUCTION WORKS SRL,Tomás Milmo,https://www.linkedin.com/in/tmilmo,David Schneider,https://www.linkedin.com/in/david-schneider-427b5528b,Alexandra Balan,https://www.linkedin.com/in/alexandra-balan-66952a14a,https://www.ejobs.ro/locuri-de-munca/inginer-constructii-departament-tehnic/1960471,operator introducere date
VICTORIA SHADES GROUP S.R.L.,David Fraunberger,https://www.linkedin.com/in/david-fraunberger-41091063,Victoria Y.,https://www.linkedin.com/in/victoria-y-9a7362173,Gimal Edwin,https://www.linkedin.com/in/gimal-edwin-0665b5b8,https://www.ejobs.ro/locuri-de-munca/angajam-operator-masina-injectie-mase-plastice/1960442,operator introducere date
Blue Line SRL,Mohamed Eid,https://www.linkedin.com/in/mohamed-eid-23190934,Sonia Mariana Wisner Domé,,The Blue Line,,https://www.ejobs.ro/locuri-de-munca/inginer-ofertare-si-achizitii/1960463,operator introducere date
