company_name,ceo_name,ceo_linkedin_url,cfo_name,cfo_linkedin_url,director_general_name,director_general_linkedin_url,job_source_url,search_keyword
Skilld,Ryan Roslansky,,Adrianne Lee,https://www.linkedin.com/in/adrianne-b-lee,General Manager,,https://www.ejobs.ro/locuri-de-munca/contabil-senior/1957949,contabil
Skilld by eJobs,Ryan Roslansky,,Prasad Bhalerao,https://www.linkedin.com/in/prasad-bhalerao-19a1751,ejob career,,https://www.ejobs.ro/locuri-de-munca/contabil-operatiuni-financiare/1957602,contabil
KONTAS ROMANIA S.R.L.,Dan Baiasu,https://www.linkedin.com/in/dan-baiasu-61802230,Constantin Moldovan,https://www.linkedin.com/in/constantin-moldovan1,Minerva Stoin,https://www.linkedin.com/in/minerva-stoin-a6bb90110,https://www.ejobs.ro/locuri-de-munca/contabil-senior/1958762,contabil
